company_name,website_url,contact_name,linkedin_profile_url
Boston Dynamics,https://www.bostondynamics.com,Marc Raibert,https://www.linkedin.com/in/marcraibert/
Figure AI,https://www.figure.ai,Brett Adcock,https://www.linkedin.com/in/brettadcock/
Maxon Group,https://www.maxongroup.com,Eugen Elmiger,
Agility Robotics,https://www.agilityrobotics.com,Damion Shelton,
Johnson Electric,https://www.johnsonelectric.com,,
Nidec Corporation,https://www.nidec.com,Shigenobu Nagamori,
Skydio,https://www.skydio.com,Adam Bry,
Intuitive Surgical,https://www.intuitive.com,,
DJI,https://www.dji.com,Frank Wang,
ABB Robotics,https://new.abb.com/products/robotics,,
